TRAIN
Accuracy of Beta: 0.2829324169530355
Accuracy of Helix: 0.43455497382198954
Accuracy of Coil: 0.8388671875
Overall accuracy: 0.6140350877192983
TRAIN
Accuracy of Beta: 0.341544885177453
Accuracy of Helix: 0.5198507860378364
Accuracy of Coil: 0.7951741157115437
Overall accuracy: 0.6374795417348609
TUNE
Accuracy of Beta: 0.2768817204301075
Accuracy of Helix: 0.46226415094339623
Accuracy of Coil: 0.8219681502654145
Overall accuracy: 0.6187601578825168
TEST
Accuracy of Beta: 0.30011454753722794
Accuracy of Helix: 0.43036649214659684
Accuracy of Coil: 0.83544921875
Overall accuracy: 0.6150670794633643
TRAIN
Accuracy of Beta: 0.3565762004175365
Accuracy of Helix: 0.5185185185185185
Accuracy of Coil: 0.7925692349876611
Overall accuracy: 0.6383722660318405
TUNE
Accuracy of Beta: 0.29121863799283154
Accuracy of Helix: 0.4609164420485175
Accuracy of Coil: 0.8178848509595753
Overall accuracy: 0.6199210587415834
TEST
Accuracy of Beta: 0.3230240549828179
Accuracy of Helix: 0.4282722513089005
Accuracy of Coil: 0.83251953125
Overall accuracy: 0.6181630546955624
TRAIN
Accuracy of Beta: 0.3757828810020877
Accuracy of Helix: 0.5190514255262457
Accuracy of Coil: 0.7895530573073759
Overall accuracy: 0.6403065020086297
TUNE
Accuracy of Beta: 0.3100358422939068
Accuracy of Helix: 0.46495956873315364
Accuracy of Coil: 0.8142098815843202
Overall accuracy: 0.6234037613187834
TEST
Accuracy of Beta: 0.3424971363115693
Accuracy of Helix: 0.4272251308900524
Accuracy of Coil: 0.82958984375
Overall accuracy: 0.6207430340557275
TRAIN
Accuracy of Beta: 0.3874739039665971
Accuracy of Helix: 0.5225153210764721
Accuracy of Coil: 0.7873594735398958
Overall accuracy: 0.6421663442940039
TUNE
Accuracy of Beta: 0.3279569892473118
Accuracy of Helix: 0.4636118598382749
Accuracy of Coil: 0.8129848917925684
Overall accuracy: 0.6271186440677966
TEST
Accuracy of Beta: 0.35853379152348225
Accuracy of Helix: 0.42094240837696334
Accuracy of Coil: 0.82568359375
Overall accuracy: 0.6207430340557275
TRAIN
Accuracy of Beta: 0.39791231732776616
Accuracy of Helix: 0.5241140420996536
Accuracy of Coil: 0.7853029887578832
Overall accuracy: 0.6433566433566433
TUNE
Accuracy of Beta: 0.3387096774193548
Accuracy of Helix: 0.46630727762803237
Accuracy of Coil: 0.8109432421396489
Overall accuracy: 0.6292082656141166
TEST
Accuracy of Beta: 0.36884306987399773
Accuracy of Helix: 0.42198952879581153
Accuracy of Coil: 0.82177734375
Overall accuracy: 0.6212590299277606
TRAIN
Accuracy of Beta: 0.40876826722338205
Accuracy of Helix: 0.5267785771382894
Accuracy of Coil: 0.7851658897724156
Overall accuracy: 0.6459604225561673
TUNE
Accuracy of Beta: 0.3485663082437276
Accuracy of Helix: 0.47035040431266845
Accuracy of Coil: 0.8117599020008167
Overall accuracy: 0.6329231483631298
TEST
Accuracy of Beta: 0.3722794959908362
Accuracy of Helix: 0.42513089005235605
Accuracy of Coil: 0.8203125
Overall accuracy: 0.6220330237358102
TRAIN
Accuracy of Beta: 0.4154488517745303
Accuracy of Helix: 0.5262456701305622
Accuracy of Coil: 0.7843432958596106
Overall accuracy: 0.6465555720874869
TUNE
Accuracy of Beta: 0.35663082437275984
Accuracy of Helix: 0.4716981132075472
Accuracy of Coil: 0.8097182523478971
Overall accuracy: 0.6340840492221964
TEST
Accuracy of Beta: 0.38602520045819017
Accuracy of Helix: 0.42513089005235605
Accuracy of Coil: 0.818359375
Overall accuracy: 0.6240970072239422
TRAIN
Accuracy of Beta: 0.42379958246346555
